id,nomeSenador,nomeSenadorCompleto,urlFoto,siglaPart
48,Marcos Rogério,Marcos Rogério da Silva Brito,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5422.jpg,PL
49,Marcos do Val,Marcos Ribeiro do Val,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5942.jpg,PODEMOS
50,Maria do Carmo Alves,Maria do Carmo do Nascimento Alves,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1023.jpg,DEM
51,Mecias de Jesus,Antônio Mecias Pereira de Jesus,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6027.jpg,REPUBLICANOS
52,Nelsinho Trad,Nelson Trad Filho,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5985.jpg,PSD
53,Nilda Gondim,Ozanilda Gondim Vital do Rego,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5281.jpg,MDB
54,Omar Aziz,Omar José Abdel Aziz,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5525.jpg,PSD
55,Oriovisto Guimarães,Oriovisto Guimaraes,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5924.jpg,PODEMOS
56,Otto Alencar,Otto Roberto Mendonça de Alencar,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5523.jpg,PSD
57,Paulo Paim,Paulo Renato Paim,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador825.jpg,PT
58,Paulo Rocha,Paulo Roberto Galvão da Rocha,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador374.jpg,PT
59,Plínio Valério,Francisco Plínio Valério Tomaz,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg,PSDB
60,Randolfe Rodrigues,Randolph Frederich Rodrigues Alves,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5012.jpg,REDE
61,Reguffe,José Antônio Machado Reguffe,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5236.jpg,PODEMOS
62,Renan Calheiros,José Renan Vasconcelos Calheiros,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador70.jpg,MDB
63,Roberto Rocha,Roberto Coelho Rocha,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador677.jpg,PSDB
64,Rodrigo Cunha,Rodrigo Santos Cunha,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5905.jpg,PSDB
65,Rodrigo Pacheco,Rodrigo Otavio Soares Pacheco,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5732.jpg,PSD
66,Rogério Carvalho,Rogério Carvalho Santos,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5352.jpg,PT
67,Romário,Romario de Souza Faria,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5322.jpg,PL
68,Rose de Freitas,Rosilda de Freitas,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador2331.jpg,MDB
69,Simone Tebet,Simone Nassar Tebet,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5527.jpg,MDB
70,Soraya Thronicke,Soraya Vieira Thronicke,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5988.jpg,PSL
71,Styvenson Valentim,Eann Styvenson Valentim Mendes,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5959.jpg,PODEMOS
72,Sérgio Petecão,Sérgio de Oliveira Cunha,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4560.jpg,PSD
73,Tasso Jereissati,Tasso Ribeiro Jereissati,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3396.jpg,PSDB
74,Telmário Mota,Telmário Mota de Oliveira,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5535.jpg,PROS
75,Vanderlan Cardoso,Vanderlan Vieira Cardoso,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5899.jpg,PSD
76,Veneziano Vital do Rêgo,Veneziano Vital do Rêgo Segundo Neto,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5748.jpg,MDB
77,Wellington Fagundes,Wellington Antonio Fagundes,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1173.jpg,PL
78,Weverton,Weverton Rocha Marques de Sousa,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5411.jpg,PDT
79,Zenaide Maia,Zenaide Maia Calado Pereira dos Santos,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5783.jpg,PROS
80,Zequinha Marinho,José da Cruz Marinho,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3806.jpg,PL
